state,Country,origin_id
New York,United States of America (the),878
New Jersey,United States of America (the),879
California,United States of America (the),880
New York,United States of America (the),881
Copan,Honduras,882
Copan,Honduras,883
Copan,Honduras,884
Intibuca,Honduras,885
Ocotepeque,Honduras,886
Ocotepeque,Honduras,887
Ocotepeque,Honduras,888
Cortes,Honduras,889
Cortes,Honduras,890
Santa Bárbara,Honduras,891
Santa Bárbara,Honduras,892
La Paz,Honduras,893
Copan,Honduras,894
Heredia,Costa Rica,895
Matagalpa,Nicaragua,896
San Martin,Peru,897
San Martin,Peru,898
Chiapas,Mexico,899
Colorado,United States of America (the),900
California,United States of America (the),901
Connecticut,United States of America (the),902
Chiapas,Mexico,903
Sacatepequez,Guatemala,904
Oregon,United States of America (the),905
California,United States of America (the),906
Sololá,Guatemala,907
San Martin,Peru,908
California,United States of America (the),909
Colorado,United States of America (the),910
Massachusetts,United States of America (the),911
California,United States of America (the),912
Minnesota,United States of America (the),913
California,United States of America (the),914
Hong Kong,Hong Kong,915
Rhode Island,United States of America (the),916
California,United States of America (the),917
Lima,Peru,918
Cauca,Colombia,919
Matagalpa,Nicaragua,920
Quiche,Guatemala,921
Veracruz,Mexico,922
VERACRUZ,Mexico,923
Cortes,Honduras,924
Cortes,Honduras,925
ATLANTICO,Colombia,926
Minas Gerais,Brazil,927
La Paz,Honduras,928
La Paz,Honduras,929
La Paz,Honduras,930
La Paz,Honduras,931
SANTANDER,Colombia,932
Junín,Peru,933
Santa Rosa,Guatemala,934
Minnesota,United States of America (the),935
California,United States of America (the),936
New Jersey,United States of America (the),937
Sao Paulo,Brazil,938
California,United States of America (the),939
Texas,United States of America (the),940
Texas,United States of America (the),941
Wisconsin,United States of America (the),942
Massachusetts,United States of America (the),943
Bahia,Brazil,944
San Marcos,Guatemala,945
San Marcos,Guatemala,946
San Marcos,Guatemala,947
Guatemala,Guatemala,948
Managua,Nicaragua,949
Managua,Nicaragua,950
Managua,Nicaragua,951
Copan,Honduras,952
Copan,Honduras,953
Copan,Honduras,954
Copan,Honduras,955
Copan,Honduras,956
Chiapas,Mexico,957
Chiapas,Mexico,958
Chiapas,Mexico,959
Chiapas,Mexico,960
CALDAS,Colombia,961
São Paulo,Brazil,962
Michigan,United States of America (the),963
Guatemala,Guatemala,964
San Marcos,Guatemala,965
Yoro,Honduras,966
