origin_id,state,Country
605,Junín,Peru
606,JUNIN,Peru
607,Junin,Peru
608,"Junín,",Peru
609,Junin,Peru
610,JUNIN,Peru
611,Junín,Peru
612,JUNIN,Peru
613,Pasco,Peru
614,Huanuco,Peru
615,Junín,Peru
616,Junín,Peru
617,Junin,Peru
618,Intibuca,Honduras
619,La Paz,Honduras
620,La Paz,Honduras
621,La Paz,Bolivia (Plurinational State of)
622,La Paz,Honduras
623,La Paz,Honduras
624,La Paz,Honduras
625,Junin,Peru
626,Santa Barbara,Honduras
627,La Paz,Bolivia (Plurinational State of)
628,Madriz,Nicaragua
629,Rondônia,Brazil
630,Copan,Honduras
631,Copan,Honduras
632,Esteli,Nicaragua
633,Chanchamayo,Peru
634,Esteli,Nicaragua
635,La Paz,Bolivia (Plurinational State of)
636,La Paz,Bolivia (Plurinational State of)
637,La Paz,Bolivia (Plurinational State of)
638,Madriz,Nicaragua
639,Intibuca,Honduras
640,San Juan Intibuca,Honduras
641,Intibuca,Honduras
642,Intibuca,Honduras
643,Intibuca,Honduras
644,La Paz,Honduras
645,La Paz,Honduras
646,La Paz,Honduras
647,La Paz,Honduras
648,La paz,Bolivia (Plurinational State of)
649,Planadas,Colombia
650,Dili District,Timor-Leste
651,Ocotepeque,Honduras
652,Ocotepeque,Honduras
653,Ocotepeque,Honduras
654,Ocotepeque,Honduras
655,Copan,Honduras
656,Copan,Honduras
657,Copan,Honduras
658,Copan,Honduras
659,Copan,Honduras
660,Copan,Honduras
661,Copan,Honduras
662,Ocotepeque,Honduras
663,Ocotepeque,Honduras
664,Ocotepeque,Honduras
665,Ocotepeque,Honduras
666,Copan,Honduras
667,Ocotepeque,Honduras
668,Ocotepeque,Honduras
669,Copan,Honduras
670,Ocotepeque,Honduras
671,Ocotepeque,Honduras
672,Ocotepeque,Honduras
673,Ocotepeque,Honduras
674,Olancho,Honduras
675,Olancho,Honduras
676,Ocotepeque,Honduras
677,Ocotepeque,Honduras
678,Ocotepeque,Honduras
679,Ocotepeque,Honduras
680,Choluteca,Honduras
681,Choluteca,Honduras
682,Choluteca,Honduras
683,Ocotepeque,Honduras
684,Amazonas,Peru
685,Amazonas,Peru
686,Ciudad Sandino,Nicaragua
687,La Paz,Honduras
688,La Paz,Honduras
689,Quindio,Colombia
690,Managua,Nicaragua
691,Rivas,Nicaragua
692,Rivas,Nicaragua
693,Rivas,Nicaragua
694,Ocotepeque,Honduras
695,Ocotepeque,Honduras
696,Ocotepeque,Honduras
697,Leon,Nicaragua
698,Ocotepeque,Honduras
699,Ocotepeque,Honduras
700,Ocotepeque,Honduras
701,JUNIN,Peru
702,CHIAPAS,Mexico
703,Ocotepeque,Honduras
704,Ocotepeque,Honduras
705,Ocotepeque,Honduras
706,Bahia,Brazil
707,Lempira,Honduras
708,Lempira,Honduras
709,Lempira,Honduras
710,Amazonas,Peru
711,Rivas,Nicaragua
712,Rivas,Nicaragua
713,Rivas,Nicaragua
714,Nueva Segovia,Nicaragua
715,San Martin,Peru
716,San Martin,Peru
717,San Martin,Peru
718,Cajamarca,Peru
719,San Martin,Peru
720,San Martin,Peru
721,San Martin,Peru
722,Cajamarca,Peru
723,Cajamarca,Peru
724,Cajamarca,Peru
725,Cajamarca,Peru
726,Cajamarca,Peru
727,Madriz,Nicaragua
728,San Martín,Peru
729,San Martín,Peru
730,Jinotega,Nicaragua
731,Nueva Segovia,Nicaragua
732,Matagalpa,Nicaragua
733,Matagalpa,Nicaragua
734,Cajamarca,Peru
